Term,Definition,URL
"10-K: Definition, What's Included, Instructions, and Where to Find it","A 10-K is a comprehensive report filed annually by public companies about their financial performance./nThe report is required by the U.S. Securities and Exchange Commission (SEC) and is far more detailed than the annual report./nInformation in the 10-K includes corporate history, financial statements, earnings per share, and any other relevant data./nThe 10-K is a useful tool for investors to make important decisions about their investments.",https://www.investopedia.com/terms/1/10-k.asp
"10-K Wrap: What It Is, How It Works, Elements","A 10-K wrap is part of a larger annual performance document required by the SEC./nThe ""wrap"" is a short commentary covering the more personal side of the business, and usually includes a letter to the shareholders and a corporate vision statement./nThe 10-K wrap report is shorter than a company's annual report./nWhile a 10-K wrap (typically) has a lower-value production budget with limited graphics, its cover may be extremely polished by comparison./nThe basic sections of a 10-K wrap summarize the company's financial status, plus an overview of the company's financial plans for upcoming quarters./nUsually, a 10-K wrap provides debt and spending level forecasts, as well.",https://www.investopedia.com/terms/1/10k-wrap.asp
10-Year US Treasury Note: What It Is and Investment Advantages,Treasury notes (T-notes) have maturities of up to 10 years. These can be appropriate for long-term saving or investing./nYou don't necessarily have to hold 10-year T-notes for the entire duration. You can sell them at any time in the secondary market./nThe 10-year T-note is the most widely tracked government debt instrument in finance./nT-note prices typically move in the opposite direction from major stock market indexes.,https://www.investopedia.com/terms/1/10-yeartreasury.asp
What Does 1%/10 Net 30 Mean in a Bill's Payment Terms?,"A 1%/10 net 30 deal is when a 1% discount is offered for services or products as long as they are paid within 10 days of a 30-day payment agreement./nThe cost of credit is used as a percentage and occurs when the buyer does not take the reduced cost, thus paying the higher cost, reflecting the discount loss./nA vendor may offer incentives to pay early to accelerate the inflow of cash, which is especially important for businesses with no revolving lines of credit.",https://www.investopedia.com/terms/1/1-10net30.asp
"0x Protocol: What it Means, How it Works, Goals","The 0x protocol is an open protocol that enables the peer-to-peer exchange of assets on the Ethereum blockchain./n0x Labs, an organization focused on creating new markets in the 0x ecosystem, built the 0x protocol./nBuilt on the foundation of Ethereum token standards, 0x protocol acts as the critical infrastructure layer for the growing number of financial applications implementing the blockchain technology stack.",https://www.investopedia.com/terms/1/0x-protocol.asp
"SEC Form 10-Q: Definition, Deadlines for Filing, and Components","SEC Form 10-Q is a comprehensive quarterly report of financial performance submitted by all public companies to the SEC./nForm 10-Q contains financial statements, management discussion and analysis, disclosures, and internal controls for the previous quarter./nCompanies must file their 10-Qs 40 or 45 days after the end of their quarters, depending on the size of their public float./nA snapshot of a company's financial position, Form 10-Q provides investors with information they can compare to previous periods and use to evaluate the outlook for the stock's performance./nForm 10-Q is not an audited statement, unlike the annual Form 10-K that companies are also required to file.",https://www.investopedia.com/terms/1/10q.asp
Form 1040-A: U.S. Individual Tax Return: Overview,"Form 1040-A was a simplified version of Form 1040 used for filing individual income tax./nFilers using 1040-A were required to have less than $100,000 in taxable income and not have exercised any incentive stock options during the year./nThe IRS eliminated Form 1040-A for the 2018 tax year in favor of the redesigned Form 1040./nAnother variant of Form 1040 was Form 1040-EZ, which was even simpler than Form 1040-A and was also eliminated starting with the 2018 tax filing.",https://www.investopedia.com/terms/1/1040a.asp
"100% Equities Strategy: What it Means, How it Works","A 100% equities strategy involves only long positions in stocks./nSuch a strategy is common among mutual funds that allocate all investable cash solely to stocks, forgoing higher-risk instruments such as derivatives or riskier strategies such as short selling./nWith 100% equity strategies, a portfolio's style can be further subdivided into capital appreciation, aggressive growth, growth, value, capitalization, and income, among others.",https://www.investopedia.com/terms/1/100-equities-strategy.asp
"What Was Form 1040EZ, and Why Is It No Longer Used?","Form 1040EZ was a shortened version of Form 1040 for taxpayers with basic tax situations./nThe form was discontinued as of the 2018 tax year and replaced with the redesigned Form 1040./nForm 1040EZ could only be used by people below age 65 with no dependents earning less than $100,000 per year./n1040EZ was about one-fifth as long as the full 1040 form, with fewer deductions and tax credits./nAnyone who hasn't filed taxes for 2017 or earlier can still use the 1040EZ form for that year.",https://www.investopedia.com/terms/1/1040ez.asp
"Form 1040: U.S. Individual Tax Return Definition, Types, and Use","Form 1040 is what individual taxpayers use to file their taxes with the IRS./nThe form determines if additional taxes are due or if the filer will receive a tax refund./nTaxpayers must include personal information on Form 1040, such as name, address, Social Security number, and the number of dependents./nA filer also needs to report wages, salary, taxable interest, capital gains, pensions, Social Security benefits, and other types of income./nTaxpayers may need to file supplemental tax 1040 forms depending on their situation.",https://www.investopedia.com/terms/1/1040.asp
"SEC Release IA-1092: What it is, History","SEC Release IA-1092 clarifies how state and federal securities laws apply to investment advisers and financial planners./nThis memo, which was issued in 1987, expands on the Investment Advisers Act of 1940./nIA-1092 defines the roles and duties of investment advisers and pension consultants, in particular.",https://www.investopedia.com/terms/1/1092.asp
"125% Loan: What It is, History, Pros and Cons","A 125% loan is a mortgage equal to 1.25 times the value of the property securing the loan./nPopular in the 1990s, 125%, and similar loans became increasingly risky and unmanageable during the 2007–08 housing bubble./nDue to the risk involved for the lender, 125% loans carry significantly higher interest rates than traditional mortgages./nToday, 125% loans are less common but are still available from some lenders.",https://www.investopedia.com/terms/1/125_loan.asp
12b-1 Fund: What It Means and how It Works,"A 12b-1 fund carries a 12b-1 fee, which covers a fund's sales and distribution costs./nThis fee is a percentage of the fund's market value, as opposed to funds that charge a load or sales fee./n12b-1 fees include the cost of marketing and selling fund shares, paying brokers and other sellers of the funds, as well as advertising costs, such as printing and mailing fund prospectuses to investors./nOnce popular, 12b-1 funds have lost investor interest in recent years, particularly amid the rise of exchange-traded funds (ETFs) and low-cost mutual funds.",https://www.investopedia.com/terms/1/12b-1-fund.asp
"130-30 Strategy: What it is, How it Works",This investing strategy makes use of shorting stocks and putting the cash from shorting those shares to work buying and holding the best-ranked stocks for a designated period./nThese strategies tend to work well for limiting the drawdown that comes in investing./nThey do not appear to keep up with major averages in total returns but do have better risk-adjusted returns.,https://www.investopedia.com/terms/1/130-30_strategy.asp
"18-Hour City: What it Means, How it Works, Examples","Eighteen-hour cities are vibrant smaller metro areas that are proving attractive to new residents, entrepreneurs and investors./nThey boast lower living costs along with solid infrastructure and appealing amenities./nMany have emerged as alternatives to big cities for starting or relocating a business or investing in real estate.",https://www.investopedia.com/terms/1/18hour-city.asp
"183-Day Rule: Definition, How It's Used for Residency, and Example","The 183-day rule refers to criteria used in many countries to determine tax residency of individuals./nIn general, individuals are considered residents if they are physically present in a country for at least 183 days in a calendar year./nThe U.S. Internal Revenue Service uses a more complicated formula, which considers both presence in a given year, as well as a fraction of presence in the two prior years./nThe U.S. hastax treatieswith other countries which concern what taxes individuals owe and to whom, as well as what exemptions may apply./nU.S. citizens and residents may exclude up to $120,000 of their foreign-earned income in 2023 if they meet the physical presence test for and paid taxes in a foreign country.",https://www.investopedia.com/terms/1/183-day-rule.asp
"1979 Energy Crisis: Definition, History, Causes, and Impact","The energy crisis of 1979 was one of two oil price shocks during the 1970s—the other was in 1973./nHigher prices and concerns about supplies led to panic buying in the gasoline market./nCrude oil prices nearly doubled to almost $40 per barrel in twelve months./nThe energy crisis of 1979 led to the development of smaller, more fuel-efficient vehicles./nOPEC's market share fell sharply and utility companies moved toward alternative energy sources.",https://www.investopedia.com/terms/1/1979-energy-crisis.asp
What is a 2-1 Buydown Loan and How do They Work,"A 2-1 buydown is a type of financing that lowers the interest rate on a mortgage for the first two years before it rises to the regular, permanent rate./nThe rate is typically two percentage points lower during the first year and one percentage point lower in the second year./nSellers, including home builders, may offer a 2-1 buydown to make a property more attractive to buyers./n2-1 buydowns can be a good deal for homebuyers, provided that they will be able to afford the higher monthly payments once those begin.",https://www.investopedia.com/terms/1/2-1_buydown.asp
"2-2-8 Adjustable-Rate Mortgage (2/28 ARM): Meaning, How It Works","2/28 adjustable-rate mortgages (ARMs) offer an introductory fixed rate for two years, after which the interest rate adjusts semiannually for 28 more years./nWhen ARMs adjust, interest rates change based on their marginal rates and the indexes to which they’re tied./nHomeowners generally have lower mortgage payments during the introductory period, but are subject to interest rate risk afterward.",https://www.investopedia.com/terms/2/228arm.asp
2011 U.S. Debt Ceiling Crisis: Meaning and Outcome,"The 2011 U.S. Debt Ceiling Crisis was one of a series of recurrent debates over increasing the total size of the U.S. national debt./nIn 2008, the federal budget deficit stood at $458.6 billion, which widened to $1.4 trillion the following year as the government spent heavily to boost the economy./nCongress passed a law to resolve the crisis that increased the debt ceiling by $2.4 trillion./nAs a result of the crisis, the United States’ credit rating was reduced from AAA to AA+ by Standard & Poor’s./nThe 2011 debt ceiling crisis had implications for future debt ceiling discussions.",https://www.investopedia.com/terms/1/2011-debt-ceiling-crisis.asp
"2000 Investor Limit: What It is, How It Works, Example","The 2,000 investor limit or rule is a key threshold for private businesses that do not wish to disclose financial information for public consumption./nA business with more than 2,000 distinct shareholders, totaling $10 million or more in capital, must file with the SEC even if it is a privately-held company./nCongress raised the limit from 500 individual investors to 2,000 investors in 2016 as part of the JOBS and FAST Acts.﻿﻿/nThe increased investor limit has opened greater possibility for equity crowdfunding.",https://www.investopedia.com/terms/1/2000-investor-limit.asp
"25% Rule: What it Means, How it Works, Rules","The 25% rule can refer to either public finance or intellectual property law./nIn public finance, the 25% rule prescribes that a public entity’s total debt should not exceed one-quarter of its annual budget./nIn intellectual property, the 25% rule suggests the reasonable royalty that a license should pay an intellectual property holder on profits.",https://www.investopedia.com/terms/1/25-percent-rule.asp
"3-2-1 Buydown Mortgage: Meaning, Pros and Cons, FAQs","With a 3-2-1 buydown mortgage, the borrower pays a lower than normal interest rate over the first three years of the loan./nThe loan interest rate is reduced by 3% in the first year, 2% in the second year, and 1% in the third year; for example, a 5% mortgage would be just 2% in year one./nAfter the buydown period ends, the lender charges the full interest rate for the remainder of the mortgage term./nBuydowns are often used by sellers, including home builders, to help buyers afford a property.",https://www.investopedia.com/terms/1/3-2-1_buydown.asp
