Term,Definition,URL
What Does 1%/10 Net 30 Mean in a Bill's Payment Terms?,"A 1%/10 net 30 deal is when a 1% discount is offered for services or products as long as they are paid within 10 days of a 30-day payment agreement., The cost of credit is used as a percentage and occurs when the buyer does not take the reduced cost, thus paying the higher cost, reflecting the discount loss., A vendor may offer incentives to pay early to accelerate the inflow of cash, which is especially important for businesses with no revolving lines of credit.",https://www.investopedia.com/terms/1/1-10net30.asp
"0x Protocol: What it Means, How it Works, Goals","The 0x protocol is an open protocol that enables the peer-to-peer exchange of assets on the Ethereum blockchain., 0x Labs, an organization focused on creating new markets in the 0x ecosystem, built the 0x protocol., Built on the foundation of Ethereum token standards, 0x protocol acts as the critical infrastructure layer for the growing number of financial applications implementing the blockchain technology stack.",https://www.investopedia.com/terms/1/0x-protocol.asp
"SEC Form 10-Q: Definition, Deadlines for Filing, and Components","SEC Form 10-Q is a comprehensive quarterly report of financial performance submitted by all public companies to the SEC., Form 10-Q contains financial statements, management discussion and analysis, disclosures, and internal controls for the previous quarter., Companies must file their 10-Qs 40 or 45 days after the end of their quarters, depending on the size of their public float., A snapshot of a company's financial position, Form 10-Q provides investors with information they can compare to previous periods and use to evaluate the outlook for the stock's performance., Form 10-Q is not an audited statement, unlike the annual Form 10-K that companies are also required to file.",https://www.investopedia.com/terms/1/10q.asp
"10-K Wrap: What It Is, How It Works, Elements","A 10-K wrap is part of a larger annual performance document required by the SEC., The ""wrap"" is a short commentary covering the more personal side of the business, and usually includes a letter to the shareholders and a corporate vision statement., The 10-K wrap report is shorter than a company's annual report., While a 10-K wrap (typically) has a lower-value production budget with limited graphics, its cover may be extremely polished by comparison., The basic sections of a 10-K wrap summarize the company's financial status, plus an overview of the company's financial plans for upcoming quarters., Usually, a 10-K wrap provides debt and spending level forecasts, as well.",https://www.investopedia.com/terms/1/10k-wrap.asp
10-Year US Treasury Note: What It Is and Investment Advantages,"Treasury notes (T-notes) have maturities of up to 10 years. These can be appropriate for long-term saving or investing., You don't necessarily have to hold 10-year T-notes for the entire duration. You can sell them at any time in the secondary market., The 10-year T-note is the most widely tracked government debt instrument in finance., T-note prices typically move in the opposite direction from major stock market indexes.",https://www.investopedia.com/terms/1/10-yeartreasury.asp
"10-K: Definition, What's Included, Instructions, and Where to Find it","A 10-K is a comprehensive report filed annually by public companies about their financial performance., The report is required by the U.S. Securities and Exchange Commission (SEC) and is far more detailed than the annual report., Information in the 10-K includes corporate history, financial statements, earnings per share, and any other relevant data., The 10-K is a useful tool for investors to make important decisions about their investments.",https://www.investopedia.com/terms/1/10-k.asp
"100% Equities Strategy: What it Means, How it Works","A 100% equities strategy involves only long positions in stocks., Such a strategy is common among mutual funds that allocate all investable cash solely to stocks, forgoing higher-risk instruments such as derivatives or riskier strategies such as short selling., With 100% equity strategies, a portfolio's style can be further subdivided into capital appreciation, aggressive growth, growth, value, capitalization, and income, among others.",https://www.investopedia.com/terms/1/100-equities-strategy.asp
"What Was Form 1040EZ, and Why Is It No Longer Used?","Form 1040EZ was a shortened version of Form 1040 for taxpayers with basic tax situations., The form was discontinued as of the 2018 tax year and replaced with the redesigned Form 1040., Form 1040EZ could only be used by people below age 65 with no dependents earning less than $100,000 per year., 1040EZ was about one-fifth as long as the full 1040 form, with fewer deductions and tax credits., Anyone who hasn't filed taxes for 2017 or earlier can still use the 1040EZ form for that year.",https://www.investopedia.com/terms/1/1040ez.asp
Form 1040-A: U.S. Individual Tax Return: Overview,"Form 1040-A was a simplified version of Form 1040 used for filing individual income tax., Filers using 1040-A were required to have less than $100,000 in taxable income and not have exercised any incentive stock options during the year., The IRS eliminated Form 1040-A for the 2018 tax year in favor of the redesigned Form 1040., Another variant of Form 1040 was Form 1040-EZ, which was even simpler than Form 1040-A and was also eliminated starting with the 2018 tax filing.",https://www.investopedia.com/terms/1/1040a.asp
"Form 1040: U.S. Individual Tax Return Definition, Types, and Use","Form 1040 is what individual taxpayers use to file their taxes with the IRS., The form determines if additional taxes are due or if the filer will receive a tax refund., Taxpayers must include personal information on Form 1040, such as name, address, Social Security number, and the number of dependents., A filer also needs to report wages, salary, taxable interest, capital gains, pensions, Social Security benefits, and other types of income., Taxpayers may need to file supplemental tax 1040 forms depending on their situation.",https://www.investopedia.com/terms/1/1040.asp
"SEC Release IA-1092: What it is, History","SEC Release IA-1092 clarifies how state and federal securities laws apply to investment advisers and financial planners., This memo, which was issued in 1987, expands on the Investment Advisers Act of 1940., IA-1092 defines the roles and duties of investment advisers and pension consultants, in particular.",https://www.investopedia.com/terms/1/1092.asp
"125% Loan: What It is, History, Pros and Cons","A 125% loan is a mortgage equal to 1.25 times the value of the property securing the loan., Popular in the 1990s, 125%, and similar loans became increasingly risky and unmanageable during the 2007–08 housing bubble., Due to the risk involved for the lender, 125% loans carry significantly higher interest rates than traditional mortgages., Today, 125% loans are less common but are still available from some lenders.",https://www.investopedia.com/terms/1/125_loan.asp
